replication,strategy,budget,best_r2
1,Broad,107,0.9969387990675019
1,Broad,108,0.9969387990675019
1,Broad,109,0.9969387990675019
1,Broad,110,0.9969387990675019
1,Broad,111,0.9969387990675019
1,Broad,112,0.9969387990675019
1,Broad,113,0.9969387990675019
1,Broad,114,0.9969387990675019
1,Broad,115,0.9969387990675019
1,Broad,116,0.9969387990675019
1,Broad,117,0.9969387990675019
1,Broad,118,0.9969387990675019
1,Broad,119,0.9969387990675019
1,Broad,120,0.9969387990675019
2,AIBA,1,-0.062060673364847885
2,AIBA,2,0.9445242475976269
2,AIBA,3,0.9445242475976269
2,AIBA,4,0.9445242475976269
2,AIBA,5,0.9445242475976269
2,AIBA,6,0.9445242475976269
2,AIBA,7,0.9445242475976269
2,AIBA,8,0.9445242475976269
2,AIBA,9,0.9509276848293121
2,AIBA,10,0.9509276848293121
2,AIBA,11,0.9509276848293121
2,AIBA,12,0.9509276848293121
2,AIBA,13,0.9974394012324491
2,AIBA,14,0.9974394012324491
2,AIBA,15,0.9974394012324491
2,AIBA,16,0.9974394012324491
2,AIBA,17,0.9974394012324491
2,AIBA,18,0.9974394012324491
2,AIBA,19,0.9974394012324491
2,AIBA,20,0.9974394012324491
2,AIBA,21,0.9974394012324491
2,AIBA,22,0.9974394012324491
2,AIBA,23,0.9974394012324491
2,AIBA,24,0.9974394012324491
2,AIBA,25,0.9974394012324491
2,AIBA,26,0.9974394012324491
2,AIBA,27,0.9974394012324491
2,AIBA,28,0.9974394012324491
2,AIBA,29,0.9974394012324491
2,AIBA,30,0.9974394012324491
2,AIBA,31,0.9974394012324491
2,AIBA,32,0.9974394012324491
2,AIBA,33,0.9974394012324491
2,AIBA,34,0.9974394012324491
2,AIBA,35,0.9974394012324491
2,AIBA,36,0.9974394012324491
2,AIBA,37,0.9974394012324491
2,AIBA,38,0.9974394012324491
2,AIBA,39,0.9974394012324491
2,AIBA,40,0.9974394012324491
2,AIBA,41,0.9974394012324491
2,AIBA,42,0.9974394012324491
2,AIBA,43,0.9974394012324491
2,AIBA,44,0.9974394012324491
2,AIBA,45,0.9974394012324491
2,AIBA,46,0.9974394012324491
2,AIBA,47,0.9974394012324491
2,AIBA,48,0.9974394012324491
2,AIBA,49,0.9974394012324491
2,AIBA,50,0.9974394012324491
2,AIBA,51,0.9974394012324491
2,AIBA,52,0.9974394012324491
2,AIBA,53,0.9974394012324491
2,AIBA,54,0.9974394012324491
2,AIBA,55,0.9974394012324491
2,AIBA,56,0.9974394012324491
2,AIBA,57,0.9974394012324491
2,AIBA,58,0.9974394012324491
2,AIBA,59,0.9974394012324491
2,AIBA,60,0.9974394012324491
2,AIBA,61,0.9974394012324491
2,AIBA,62,0.9974394012324491
2,AIBA,63,0.9974394012324491
2,AIBA,64,0.9974394012324491
2,AIBA,65,0.9974394012324491
2,AIBA,66,0.9974394012324491
2,AIBA,67,0.9974394012324491
2,AIBA,68,0.9974394012324491
2,AIBA,69,0.9974394012324491
2,AIBA,70,0.9974394012324491
2,AIBA,71,0.9974394012324491
2,AIBA,72,0.9974394012324491
2,AIBA,73,0.9974394012324491
2,AIBA,74,0.9974394012324491
2,AIBA,75,0.9974394012324491
2,AIBA,76,0.9974394012324491
2,AIBA,77,0.9974394012324491
2,AIBA,78,0.9974394012324491
2,AIBA,79,0.9974394012324491
2,AIBA,80,0.9974394012324491
2,AIBA,81,0.9974394012324491
2,AIBA,82,0.9974394012324491
2,AIBA,83,0.9974394012324491
2,AIBA,84,0.9974394012324491
2,AIBA,85,0.9974394012324491
2,AIBA,86,0.9974394012324491
2,AIBA,87,0.9974394012324491
2,AIBA,88,0.9974394012324491
2,AIBA,89,0.9974394012324491
2,AIBA,90,0.9974394012324491
2,AIBA,91,0.9974394012324491
2,AIBA,92,0.9974394012324491
2,AIBA,93,0.9974394012324491
2,AIBA,94,0.9974394012324491
2,AIBA,95,0.9974394012324491
2,AIBA,96,0.9974394012324491
