batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
16,189,0.0007707658440963431,11,0.07597203466784508,3,0.5,0.29221354573303293,2.4839782000053674,189,353,122030,1,guided_extension
4,133,0.004390682021323242,6,0.00790422419068585,3,0.5,0.992724207613854,5.037492800038308,133,133,122031,1,guided_extension
5,119,0.0008871801197094383,7,0.08268239047882968,1,0.0,0.8363403242766136,3.5506061000050977,119,57,122032,1,guided_extension
2,169,0.0004545661690017758,198,0.03719151854515766,2,0.5,0.9939542782412116,13.990826099994592,169,40987,122033,1,guided_extension
22,115,0.0008002580905415161,4,0.08856486263856084,3,0.5,-0.21208758819122986,1.348853399977088,115,73,122034,1,guided_extension
19,278,0.024497190304606026,17,0.003624833785938882,3,1.0,0.9943829057475153,3.0762762000085786,278,749,122035,1,guided_extension
3,89,0.010836763164221535,70,0.06673425102517229,3,0.5,0.9820581491267789,5.053073299932294,89,10501,122036,1,guided_extension
15,187,0.00603593795143972,76,0.06082887387123357,1,0.0,0.9917174483314634,2.2212338000535965,187,609,122037,1,guided_extension
32,86,0.00047914315300410815,33,0.018314584810299198,2,0.0,0.8453316019628572,0.8517082000616938,86,1387,122038,1,guided_extension
6,296,0.021507988928320808,114,0.08654448499979203,3,1.0,0.9644095180497099,9.019972699927166,296,27133,122039,1,guided_extension
72,147,0.0036092555774443536,116,0.051613411914859915,3,0.5,0.988971070868455,1.1966474000364542,147,28073,122040,1,guided_extension
9,77,0.0014399746468948635,7,0.004664150302568785,2,1.0,0.5470836655778375,1.6820384999737144,77,113,122041,1,guided_extension
4,293,0.0020660692147270944,3,0.024271728063006627,3,0.0,0.9713874289165901,11.150458700023592,293,49,122042,1,guided_extension
4,330,0.005072720029387153,334,0.011551288827307772,1,1.0,0.996493390685633,12.181746699963696,330,2673,122043,1,guided_extension
10,69,0.00437699347549595,4,0.03755349291160515,1,0.5,0.5952035766746706,1.357098300009966,69,33,122044,1,guided_extension
11,204,0.0024834462151674193,139,0.08635428488917664,2,1.0,0.9954906536437502,3.707744700019248,204,20573,122045,1,guided_extension
2,247,0.011801246203041606,329,0.0042869481968525695,3,0.0,0.9618064799215797,43.085143300006166,247,219773,122046,1,guided_extension
43,7,0.002207707604562221,372,0.00045490390299188254,2,0.5,-0.03850731213769398,0.48953789996448904,7,141733,132027,1,broad_extension
10,288,5.613039807843388e-05,68,0.03436687351266443,2,0.5,0.04436652549919762,5.142812000005506,288,5237,132028,1,broad_extension
135,49,0.0015029803258444522,74,0.0002417327679924805,3,0.5,-0.049517646996387166,0.6326250999700278,49,11693,132029,1,broad_extension
68,4,0.013426446819817556,40,0.04160894113685225,1,0.5,-0.12631570604244646,0.3047762999776751,4,321,132030,1,broad_extension
4,9,4.0593537511560925e-05,42,0.06787508404801924,3,1.0,-0.4710930353803009,0.8426152999745682,9,3949,132031,1,broad_extension
6,240,9.851398912730175e-05,10,0.038608146927456795,2,0.0,0.7198660651592916,5.689471999998204,240,191,132032,1,broad_extension
