batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
156,108,0.012038299915940999,21,0.1793278610455782,1,0.5,0.8132476005358031,0.47576900001149625,108,169,212074,2,initial_shared
7,2,0.02408949862227859,12,4.2759802705787976e-05,1,1.0,0.47687720930797994,0.33436119998805225,2,97,212075,2,initial_shared
118,35,0.0002897743999818114,366,0.0063453487708957715,3,0.5,-0.02413413499104955,0.8112128999782726,35,271573,212076,2,initial_shared
15,265,0.00045888695996723096,119,0.0004314852184586787,1,0.0,0.9250188449029253,2.9512405999703333,265,953,212077,2,initial_shared
13,17,0.02685418064417317,19,0.01794968266200081,2,0.5,0.8807158032010338,0.5899730999954045,17,533,212078,2,initial_shared
6,3,0.0989695584037192,9,0.0006898903329210668,3,1.0,0.6892281274443346,0.4893651999300346,3,253,212079,2,initial_shared
34,114,1.2823938135138596e-05,4,0.0029086889202227,3,0.5,-0.647982806921064,1.0446408999850973,114,73,212080,2,initial_shared
82,30,0.011337853625483946,77,0.006425641791250039,3,1.0,0.7228645964445661,0.5028388000791892,30,12629,212081,2,initial_shared
95,2,0.00012188655109014104,6,0.00886959275982905,3,0.0,-0.5302292652217964,0.4195678000105545,2,133,212082,2,initial_shared
10,2,1.2856915281839147e-05,103,0.004409395609183879,1,1.0,-0.5746095690124153,0.3177404999732971,2,825,212083,2,initial_shared
60,30,0.018421548205649924,121,0.3630021819715753,2,1.0,0.9351507122561812,0.5245079000014812,30,15731,212084,2,initial_shared
17,1,0.0013035974229728138,96,0.10615773099621344,2,0.0,-0.37647263908386575,0.3507069000042975,1,10081,212085,2,initial_shared
5,31,0.0895496171350105,145,0.0012432267541194176,1,0.5,0.9550277690439828,1.1675782001111656,31,1161,212086,2,initial_shared
17,13,8.191416479157031e-05,40,0.015461678673620225,3,0.0,-0.5063700115888239,0.5701504000462592,13,3601,212087,2,initial_shared
129,125,0.010505588203882652,211,0.015697808810958624,2,0.0,0.9898730412967943,0.7937048999592662,125,46421,212088,2,initial_shared
8,4,0.014668375979049669,36,0.0001518763791178491,2,0.5,0.7642191499510784,0.4419943999964744,4,1621,212089,2,initial_shared
85,3,5.3067958312766644e-05,13,0.004520543404181318,3,1.0,-0.5847747688443936,0.4237569000106305,3,469,212090,2,initial_shared
154,45,0.09725479050576961,19,0.5249814057812918,1,0.5,0.9822027225569231,0.388471300015226,45,153,212091,2,initial_shared
